run_id,model_name,debate_role,initial_stance_proxy,final_stance_proxy,stance_proxy_delta,initial_stance_sign,final_stance_sign,stance_flip,turns_in_group
run_20260208_174705,gemma3:27b,moderator,-2.0,2.0,4.0,-1,1,1,5
run_20260208_175659,dolphin-yi-34b,moderator,1.0,1.0,0.0,1,1,0,5
run_20260208_175659,gemma3:27b,opponent,1.0,1.0,0.0,1,1,0,5
run_20260208_175659,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_180806,dolphin-yi-34b,moderator,0.0,0.0,0.0,0,0,0,5
run_20260208_180806,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_180806,gemma3:27b,proponent,0.0,1.0,1.0,0,1,0,5
run_20260208_181707,dolphin-yi-34b,moderator,-1.0,2.0,3.0,-1,1,1,5
run_20260208_181707,gemma3:27b,opponent,-0.0,-1.0,-1.0,0,-1,0,5
run_20260208_181707,gemma3:27b,proponent,0.0,-2.0,-2.0,0,-1,0,5
run_20260208_182754,dolphin-yi-34b,moderator,0.0,0.0,0.0,0,0,0,4
run_20260208_182754,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_182754,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_183421,dolphin-yi-34b,moderator,0.0,-4.0,-4.0,0,-1,0,3
run_20260208_183421,gemma3:27b,opponent,-0.0,1.0,1.0,0,1,0,3
run_20260208_183421,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,3
run_20260208_184104,dolphin-yi-34b,moderator,0.0,1.0,1.0,0,1,0,3
run_20260208_184104,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,3
run_20260208_184104,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,3
run_20260208_185127,dolphin-yi-34b,moderator,-1.0,-1.0,0.0,-1,-1,0,5
run_20260208_185127,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_185127,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_190136,dolphin-yi-34b,moderator,1.0,0.0,-1.0,1,0,0,5
run_20260208_190136,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_190136,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_190908,dolphin-yi-34b,moderator,-1.0,-1.0,0.0,-1,-1,0,3
run_20260208_190908,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,3
run_20260208_190908,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,3
run_20260208_191723,dolphin-yi-34b,moderator,-2.0,0.0,2.0,-1,0,0,4
run_20260208_191723,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_191723,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,4
run_20260208_192427,dolphin-yi-34b,moderator,2.0,-1.0,-3.0,1,-1,1,3
run_20260208_192427,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,3
run_20260208_192427,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,3
run_20260208_193147,dolphin-yi-34b,moderator,-1.0,0.0,1.0,-1,0,0,4
run_20260208_193147,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_193147,gemma3:27b,proponent,2.0,-1.0,-3.0,1,-1,1,4
run_20260208_194248,dolphin-yi-34b,moderator,2.0,-3.0,-5.0,1,-1,1,5
run_20260208_194248,gemma3:27b,opponent,-0.0,1.0,1.0,0,1,0,5
run_20260208_194248,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_195239,dolphin-yi-34b,moderator,-2.0,-1.0,1.0,-1,-1,0,5
run_20260208_195239,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_195239,gemma3:27b,proponent,-1.0,0.0,1.0,-1,0,0,5
run_20260208_200438,dolphin-yi-34b,moderator,1.0,0.0,-1.0,1,0,0,5
run_20260208_200438,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_200438,gemma3:27b,proponent,1.0,-1.0,-2.0,1,-1,1,5
run_20260208_201943,dolphin-yi-34b,moderator,1.0,1.0,0.0,1,1,0,5
run_20260208_201943,gemma3:27b,opponent,-0.0,-1.0,-1.0,0,-1,0,5
run_20260208_201943,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_203158,dolphin-yi-34b,moderator,1.0,4.0,3.0,1,1,0,5
run_20260208_203158,gemma3:27b,opponent,-0.0,-2.0,-2.0,0,-1,0,5
run_20260208_203158,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_204216,dolphin-yi-34b,moderator,0.0,0.0,0.0,0,0,0,5
run_20260208_204216,gemma3:27b,opponent,-0.0,-1.0,-1.0,0,-1,0,5
run_20260208_204216,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_205053,dolphin-yi-34b,moderator,1.0,1.0,0.0,1,1,0,4
run_20260208_205053,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260208_205053,gemma3:27b,proponent,0.0,1.0,1.0,0,1,0,4
run_20260208_205909,dolphin-yi-34b,moderator,0.0,-1.0,-1.0,0,-1,0,4
run_20260208_205909,gemma3:27b,opponent,1.0,1.0,0.0,1,1,0,4
run_20260208_205909,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,4
run_20260208_210903,dolphin-yi-34b,opponent,-0.0,1.0,1.0,0,1,0,4
run_20260208_210903,gemma3:27b,moderator,0.0,0.0,0.0,0,0,0,4
run_20260208_210903,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_211930,dolphin-yi-34b,opponent,-0.0,1.0,1.0,0,1,0,4
run_20260208_211930,gemma3:27b,moderator,-1.0,1.0,2.0,-1,1,1,4
run_20260208_211930,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,4
run_20260208_213010,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_213010,gemma3:27b,moderator,1.0,0.0,-1.0,1,0,0,5
run_20260208_213010,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_213916,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_213916,gemma3:27b,moderator,1.0,0.0,-1.0,1,0,0,5
run_20260208_213916,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_215002,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_215002,gemma3:27b,moderator,2.0,1.0,-1.0,1,1,0,5
run_20260208_215002,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_220438,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_220438,gemma3:27b,moderator,0.0,1.0,1.0,0,1,0,5
run_20260208_220438,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_221341,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_221341,gemma3:27b,moderator,0.0,5.0,5.0,0,1,0,5
run_20260208_221341,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_222452,dolphin-yi-34b,opponent,1.0,-0.0,-1.0,1,0,0,5
run_20260208_222452,gemma3:27b,moderator,1.0,1.0,0.0,1,1,0,5
run_20260208_222452,gemma3:27b,proponent,0.0,1.0,1.0,0,1,0,5
run_20260208_223401,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_223401,gemma3:27b,moderator,0.0,0.0,0.0,0,0,0,5
run_20260208_223401,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_224720,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_224720,gemma3:27b,moderator,2.0,1.0,-1.0,1,1,0,5
run_20260208_224720,gemma3:27b,proponent,0.0,-1.0,-1.0,0,-1,0,5
run_20260208_225610,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_225610,gemma3:27b,moderator,1.0,-1.0,-2.0,1,-1,1,5
run_20260208_225610,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_230757,dolphin-yi-34b,opponent,1.0,1.0,0.0,1,1,0,5
run_20260208_230757,gemma3:27b,moderator,-2.0,1.0,3.0,-1,1,1,5
run_20260208_230757,gemma3:27b,proponent,1.0,1.0,0.0,1,1,0,5
run_20260208_232003,dolphin-yi-34b,opponent,-0.0,2.0,2.0,0,1,0,5
run_20260208_232003,gemma3:27b,moderator,0.0,1.0,1.0,0,1,0,5
run_20260208_232003,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_232236,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,1
run_20260208_232236,gemma3:27b,moderator,1.0,1.0,0.0,1,1,0,1
run_20260208_232236,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,1
run_20260208_233447,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_233447,gemma3:27b,moderator,1.0,0.0,-1.0,1,0,0,5
run_20260208_233447,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_234249,dolphin-yi-34b,opponent,-0.0,1.0,1.0,0,1,0,3
run_20260208_234249,gemma3:27b,moderator,2.0,2.0,0.0,1,1,0,3
run_20260208_234249,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,3
run_20260208_235331,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_235331,gemma3:27b,moderator,2.0,2.0,0.0,1,1,0,5
run_20260208_235331,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_000422,dolphin-yi-34b,opponent,-1.0,-1.0,0.0,-1,-1,0,5
run_20260209_000422,gemma3:27b,moderator,2.0,4.0,2.0,1,1,0,5
run_20260209_000422,gemma3:27b,proponent,0.0,1.0,1.0,0,1,0,5
run_20260209_001549,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260209_001549,gemma3:27b,moderator,0.0,1.0,1.0,0,1,0,5
run_20260209_001549,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_002606,dolphin-yi-34b,opponent,-0.0,1.0,1.0,0,1,0,5
run_20260209_002606,gemma3:27b,moderator,-1.0,2.0,3.0,-1,1,1,5
run_20260209_002606,gemma3:27b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_003339,dolphin-yi-34b,proponent,0.0,1.0,1.0,0,1,0,4
run_20260209_003339,gemma3:27b,moderator,-1.0,0.0,1.0,-1,0,0,4
run_20260209_003339,gemma3:27b,opponent,-0.0,1.0,1.0,0,1,0,4
run_20260209_004319,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_004319,gemma3:27b,moderator,-1.0,0.0,1.0,-1,0,0,5
run_20260209_004319,gemma3:27b,opponent,-0.0,1.0,1.0,0,1,0,5
run_20260209_005159,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_005159,gemma3:27b,moderator,2.0,2.0,0.0,1,1,0,5
run_20260209_005159,gemma3:27b,opponent,-0.0,1.0,1.0,0,1,0,5
run_20260209_005727,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,3
run_20260209_005727,gemma3:27b,moderator,2.0,0.0,-2.0,1,0,0,3
run_20260209_005727,gemma3:27b,opponent,-0.0,-0.0,0.0,0,0,0,3
